entry_idx,exit_idx,entry_price,exit_price,direction,exit_type,gross_return,net_return,meta_prob_at_entry,pred_at_entry
3,4,1.12202,1.11602,long,sl,-0.005347498262063069,-0.007347498262063069,0.362134724317318,1
12,13,1.17697,1.17097,long,sl,-0.00509783596863132,-0.00709783596863132,0.42533213050156293,1
16,17,1.02973,1.03573,short,sl,-0.005826770124207322,-0.007826770124207322,0.4048372612576731,2
21,22,1.07447,1.08047,short,sl,-0.005584148463893832,-0.007584148463893832,0.37554770531529996,2
27,28,1.13368,1.12768,long,sl,-0.005292498765083626,-0.007292498765083626,0.3770709668739327,1
32,33,1.08215,1.07615,long,sl,-0.005544517857967939,-0.0075445178579679395,0.3526852309676755,1
36,37,1.05428,1.0602800000000001,short,sl,-0.005691087756573211,-0.007691087756573211,0.5106531178678985,2
42,43,1.13671,1.13071,long,sl,-0.005278391146378588,-0.0072783911463785884,0.5313662662679771,1
49,50,1.04349,1.04949,short,sl,-0.005749935313227731,-0.007749935313227731,0.3650798749733685,2
53,54,1.06631,1.07231,short,sl,-0.005626881488497721,-0.007626881488497721,0.4794195214538595,2
57,58,1.17916,1.17316,long,sl,-0.005088367990773097,-0.007088367990773097,0.4891658499282204,1
63,64,1.03935,1.04535,short,sl,-0.005772838793476697,-0.007772838793476697,0.3868595232704417,2
74,75,1.13605,1.13005,long,sl,-0.005281457682320325,-0.007281457682320325,0.3744389251397379,1
81,82,1.05259,1.05859,short,sl,-0.0057002251588937815,-0.007700225158893782,0.44137198441576153,2
87,88,1.11202,1.10602,long,sl,-0.005395586410316366,-0.007395586410316366,0.3622200341990496,1
94,95,1.11784,1.12384,long,tp,0.0053674944535890695,0.0033674944535890695,0.35463395563453676,1
106,107,1.05042,1.05642,long,tp,0.005712000913920151,0.0037120009139201514,0.3586421767182295,1
120,121,1.13788,1.13188,long,sl,-0.005272963757162447,-0.007272963757162447,0.3558960046854407,1
126,127,1.17263,1.16663,long,sl,-0.005116703478505586,-0.007116703478505586,0.4686487165064543,1
130,131,1.02914,1.03514,short,sl,-0.005830110577763964,-0.007830110577763963,0.36564123782143915,2
136,137,1.07942,1.08542,long,tp,0.005558540697782147,0.003558540697782147,0.36634098551243505,1
140,141,1.03502,1.04102,short,sl,-0.005796989430155944,-0.007796989430155944,0.4935362594485417,2
146,148,1.05055,1.05655,short,sl,-0.005711294084051216,-0.007711294084051216,0.44572933471919907,2
152,153,1.0465,1.0525,short,sl,-0.005733397037744869,-0.007733397037744869,0.39412465575203587,2
156,157,1.12355,1.11755,long,sl,-0.005340216278759294,-0.007340216278759294,0.3609897759488539,1
163,164,1.16079,1.15479,long,sl,-0.005168893598325283,-0.007168893598325283,0.3863849493319959,1
168,169,1.09488,1.08888,long,sl,-0.005480052608505046,-0.007480052608505046,0.4429542600696899,1
177,178,1.13056,1.13656,long,tp,0.005307104443815459,0.003307104443815459,0.35424293754614533,1
189,190,1.13387,1.12787,long,sl,-0.005291611913182292,-0.007291611913182292,0.3714883168789094,1
211,212,1.0304,1.0364,short,sl,-0.005822981366459632,-0.007822981366459633,0.5180355156215531,2
216,217,1.13725,1.13125,long,sl,-0.005275884809848323,-0.007275884809848323,0.3983995840718402,1
221,222,1.09166,1.09766,long,tp,0.005496216770789444,0.0034962167707894443,0.37104034546473336,1
227,228,1.07418,1.08018,short,sl,-0.005585656035301352,-0.007585656035301352,0.4507744438236843,2
246,247,1.16167,1.15567,long,sl,-0.005164978005801997,-0.007164978005801997,0.36281297496693243,1
251,252,1.06423,1.07023,short,sl,-0.005637879029908953,-0.007637879029908953,0.37086454457931434,2
263,264,1.03965,1.04565,long,tp,0.005771172990910408,0.003771172990910408,0.352487962768306,1
267,268,1.05634,1.06234,short,sl,-0.0056799893973531294,-0.0076799893973531295,0.3972702521074354,2
271,272,1.16758,1.16158,long,sl,-0.005138834169821344,-0.007138834169821344,0.44761607194018943,1
278,280,1.14803,1.14203,long,sl,-0.005226344259296364,-0.007226344259296364,0.3905691680678645,1
282,283,1.08321,1.08921,long,tp,0.0055390921427978,0.0035390921427978003,0.36417310665406744,1
294,295,1.07668,1.07068,long,sl,-0.005572686406360297,-0.007572686406360297,0.35337052709943206,1
298,299,1.15928,1.15328,long,sl,-0.0051756262507763485,-0.0071756262507763485,0.3533715975639993,1
305,306,1.09995,1.09395,long,sl,-0.005454793399699991,-0.007454793399699991,0.3535254841097561,1
310,311,1.07516,1.08116,short,sl,-0.005580564753153025,-0.007580564753153025,0.3798690725433144,2
316,317,1.02211,1.02811,short,sl,-0.005870209664321849,-0.007870209664321849,0.4079442153751,2
324,325,1.15876,1.15276,long,sl,-0.005177948841865447,-0.007177948841865447,0.3609468191054311,1
328,329,1.10853,1.10253,long,sl,-0.005412573408026851,-0.0074125734080268514,0.35931951915919463,1
333,334,1.11241,1.10641,short,tp,0.005393694770812925,0.003393694770812925,0.45305574526215314,2
